symbol,prediction_session,target_session,exclusion_reason
ESSENTIA.NS,2021-10-11,2021-10-18,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2021-10-18,2021-10-25,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-10-25,2021-11-01,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-11-01,2021-11-15,NOT_NEXT_SESSION(missed=8)
ESSENTIA.NS,2021-11-15,2021-11-22,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2021-11-22,2021-12-06,NOT_NEXT_SESSION(missed=9)
ESSENTIA.NS,2021-12-06,2021-12-13,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-12-13,2021-12-15,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2021-12-15,2021-12-20,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2021-12-20,2021-12-27,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-12-27,2022-01-03,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2022-01-03,2022-01-10,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2022-01-10,2022-01-17,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2022-01-17,2022-01-24,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2022-01-24,2022-01-31,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2022-01-31,2022-02-07,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2022-02-07,2022-02-14,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2022-02-14,2022-02-21,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2022-02-21,2022-02-28,NOT_NEXT_SESSION(missed=4)
